K,WCSS,Silhouette_Score,Codo_Distancia,Es_Codo
2,3584708.0174421524,0.9853912110467125,0.0,False
3,2500856.574908045,0.9790289190272612,0.20210197967103938,False
4,1516182.994575358,0.8557993348719739,0.3742724818420104,False
5,1092796.520954101,0.8396170811231859,0.37704880639406757,True
6,762647.3568411336,0.8504545261529128,0.35168648821104975,False
7,577236.9303102323,0.6770046400493138,0.28264260469516017,False
8,450055.790401314,0.707747602286167,0.19602535809516541,False
9,325600.42347647884,0.7398080394271764,0.10858548423811522,False
10,271210.97403043864,0.6648986154478691,0.0,False
