"NIT","RAZÓN SOCIAL","SUPERVISOR","REGIÓN","DEPARTAMENTO DOMICILIO","CIUDAD DOMICILIO","CIIU","MACROSECTOR","INGRESOS OPERACIONALES","GANANCIA (PÉRDIDA)","TOTAL ACTIVOS","TOTAL PASIVOS","TOTAL PATRIMONIO","Año de Corte"
"901,039,113","COLGRANJA PRODUCTORA AVICOLA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","CALDAS","MANIZALES","145","AGROPECUARIO","$0.02","-$0.00","$0.01","$0.00","$0.00","2,021"
"805,029,025","GRUPO EMPRESARIAL R.I.V. S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,731","COMERCIO","$0.02","$0.00","$0.04","$0.01","$0.02","2,021"
"901,039,700","GAS GIBRALTAR S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","1,921","MANUFACTURA","$0.02","-$0.00","$0.06","$0.06","$0.00","2,021"
"900,024,389","INVERSIONES Y CONSTRUCCIONES LA MANSION S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","CUNDINAMARCA","CAJICA","4,111","CONSTRUCCIÓN","$0.02","$0.00","$0.07","$0.05","$0.02","2,021"
"891,701,392","SERRANOOREJARENA Y COMPAÑIA S.A.S. SOCOL","SUPERSOCIEDADES","COSTA ATLÁNTICA","ATLANTICO","BARRANQUILLA","4,754","COMERCIO","$0.02","$0.00","$0.04","$0.04","$0.01","2,021"
"830,059,052","NAGASI S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","6,810","SERVICIOS","$0.02","-$0.00","$0.21","$0.02","$0.19","2,021"
"830,140,226","IQVIA RDS COLOMBIA S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","7,490","SERVICIOS","$0.02","$0.00","$0.01","$0.01","$0.00","2,021"
"800,169,464","PALMAS SANTA FE S.A. EN REORGANIZACION","SUPERSOCIEDADES","COSTA PACÍFICA","VALLE","CALI","126","AGROPECUARIO","$0.02","$0.00","$0.05","$0.03","$0.02","2,021"
"830,006,973","PASARELA COLOMBIA S.A.S. Y PODRÁ GIRAR TAMBIÉN CON LA DENOMINACIÓN WOMPI S.A.S.","SUPERSOCIEDADES","ANTIOQUIA","ANTIOQUIA","MEDELLIN","6,399","SERVICIOS","$0.02","$0.01","$0.12","$0.00","$0.12","2,021"
"900,533,008","INVERSIONES FESCAR S.A.S.","SUPERSOCIEDADES","ANTIOQUIA","ANTIOQUIA","ITAGUI","4,731","COMERCIO","$0.02","$0.00","$0.01","$0.00","$0.01","2,021"
