K,WCSS,Silhouette_Score,Codo_Distancia,Es_Codo,Es_Seleccionado
2,3584708.0174421514,0.9853912110467125,0.0,False,True
3,2500856.5749080605,0.9790289190272612,0.2021019796710345,False,False
4,1516182.9945753505,0.8557993348719739,0.37427248184201256,False,False
5,1092796.5209541027,0.8396170811231859,0.37704880639406696,True,False
6,762647.3568411347,0.8504545261529128,0.3516864882110493,False,False
7,577236.9303102323,0.6770046400493138,0.28264260469516,False,False
8,450055.7904013122,0.707747602286167,0.19602535809516586,False,False
9,325600.4234764793,0.7398080394271764,0.10858548423811497,False,False
10,271210.9740304383,0.6648986154478691,0.0,False,False
